Date,Close
1/4/2016,18.76
1/5/2016,18.77
1/6/2016,18.81
1/7/2016,18.71
1/8/2016,18.57
1/11/2016,18.41
1/12/2016,18.35
1/13/2016,18.55
1/14/2016,18.25
1/15/2016,18.35
1/18/2016,18.26
1/19/2016,18.45
1/20/2016,18.05
1/21/2016,18.08
1/22/2016,17.92
1/25/2016,18.19
1/27/2016,18.01
1/28/2016,17.94
1/29/2016,17.92
2/1/2016,18.29
2/2/2016,18.22
2/3/2016,18.14
2/4/2016,17.98
2/5/2016,17.81
2/8/2016,17.84
2/9/2016,17.54
2/10/2016,17.56
2/11/2016,17.42
2/12/2016,17.33
2/15/2016,17.62
2/16/2016,17.78
2/17/2016,17.86
2/18/2016,18.1
2/19/2016,18.11
2/22/2016,18.04
2/23/2016,17.93
2/24/2016,17.9
2/25/2016,18.09
2/26/2016,18.11
2/29/2016,18.23
3/1/2016,18.15
3/2/2016,18.42
3/3/2016,18.26
3/4/2016,18.18
3/7/2016,18.07
3/8/2016,18.02
3/9/2016,17.96
3/10/2016,17.91
3/11/2016,17.99
3/14/2016,17.87
3/15/2016,18.07
3/16/2016,18.19
3/17/2016,17.98
3/18/2016,17.96
3/21/2016,18.11
3/22/2016,18.16
3/23/2016,18.09
3/24/2016,18.15
3/29/2016,18.06
3/30/2016,18.05
3/31/2016,18.01
4/1/2016,17.95
4/4/2016,18.17
4/5/2016,18.12
4/6/2016,18.18
4/7/2016,18.16
4/8/2016,18.21
4/11/2016,18.13
4/12/2016,17.95
4/13/2016,18.03
4/14/2016,18.18
4/15/2016,18.08
4/18/2016,18.05
4/19/2016,18.01
4/20/2016,18.04
4/21/2016,18.08
4/22/2016,18.06
4/26/2016,18.15
4/27/2016,18.35
4/28/2016,18.31
4/29/2016,18.18
5/2/2016,18.19
5/3/2016,18.4
5/4/2016,18.4
5/5/2016,18.38
5/6/2016,18.54
5/9/2016,18.73
5/10/2016,18.9
5/11/2016,18.91
5/12/2016,18.9
5/13/2016,18.88
5/16/2016,18.88
5/17/2016,18.85
5/18/2016,18.84
5/19/2016,19
5/20/2016,18.97
5/23/2016,19.01
5/24/2016,19.07
5/25/2016,19.37
5/26/2016,19.41
5/27/2016,19.43
