Date,Close
1/4/2016,10.97
1/5/2016,10.9
1/6/2016,10.88
1/7/2016,10.85
1/8/2016,10.66
1/11/2016,10.62
1/12/2016,10.62
1/13/2016,10.77
1/14/2016,10.48
1/15/2016,10.61
1/18/2016,10.41
1/19/2016,10.55
1/20/2016,10.34
1/21/2016,10.45
1/22/2016,10.32
1/25/2016,10.55
1/27/2016,10.4
1/28/2016,10.2
1/29/2016,10.25
2/1/2016,10.45
2/2/2016,10.47
2/3/2016,10.32
2/4/2016,10.19
2/5/2016,10.05
2/8/2016,9.93
2/9/2016,9.74
2/10/2016,9.71
2/11/2016,9.68
2/12/2016,9.73
2/15/2016,9.86
2/16/2016,9.95
2/17/2016,10.05
2/18/2016,10.24
2/19/2016,10.16
2/22/2016,10.18
2/23/2016,10.12
2/24/2016,10.05
2/25/2016,10.23
2/26/2016,10.22
2/29/2016,10.25
3/1/2016,10.23
3/2/2016,10.47
3/3/2016,10.34
3/4/2016,10.23
3/7/2016,10.14
3/8/2016,10.06
3/9/2016,10.03
3/10/2016,10.02
3/11/2016,10.03
3/14/2016,9.99
3/15/2016,10.13
3/16/2016,10.21
3/17/2016,10.13
3/18/2016,10.04
3/21/2016,10.1
3/22/2016,10.15
3/23/2016,10.14
3/24/2016,10.21
3/29/2016,10.16
3/30/2016,10.22
3/31/2016,10.2
4/1/2016,10.17
4/4/2016,10.33
4/5/2016,10.3
4/6/2016,10.34
4/7/2016,10.37
4/8/2016,10.38
4/11/2016,10.27
4/12/2016,10.17
4/13/2016,10.17
4/14/2016,10.34
4/15/2016,10.28
4/18/2016,10.23
4/19/2016,10.22
4/20/2016,10.11
4/21/2016,10.15
4/22/2016,10.2
4/26/2016,10.08
4/27/2016,10.05
4/28/2016,10.05
4/29/2016,9.92
5/2/2016,9.93
5/3/2016,10.06
5/4/2016,10.03
5/5/2016,10
5/6/2016,10.14
5/9/2016,10.23
5/10/2016,10.34
5/11/2016,10.41
5/12/2016,10.36
5/13/2016,10.28
5/16/2016,10.34
5/17/2016,10.36
5/18/2016,10.34
5/19/2016,10.47
5/20/2016,10.45
5/23/2016,10.52
5/24/2016,10.52
5/25/2016,10.78
5/26/2016,10.78
5/27/2016,10.85
5/30/2016,11.02
5/31/2016,10.91
6/1/2016,10.85
6/2/2016,10.85
6/3/2016,10.91
6/6/2016,10.71
6/7/2016,10.59
6/8/2016,10.56
6/9/2016,10.55
6/10/2016,10.6
6/14/2016,10.42
6/15/2016,10.53
6/16/2016,10.34
6/17/2016,10.46
6/20/2016,10.32
6/21/2016,10.31
6/22/2016,10.29
6/23/2016,10.25
6/24/2016,10
6/27/2016,10.03
6/28/2016,9.95
6/29/2016,10.13
6/30/2016,10.21
7/1/2016,10.22
7/4/2016,10.3
7/5/2016,10.24
7/6/2016,10.27
7/7/2016,10.27
7/8/2016,10.31
7/11/2016,10.44
7/12/2016,10.44
7/13/2016,10.44
7/14/2016,10.42
7/15/2016,10.44
7/18/2016,10.5
7/19/2016,10.64
7/20/2016,10.65
7/21/2016,10.81
7/22/2016,10.8
7/25/2016,10.79
7/26/2016,10.76
7/27/2016,10.87
7/28/2016,10.83
7/29/2016,10.91
8/1/2016,10.83
8/2/2016,10.93
8/3/2016,10.77
8/4/2016,10.81
8/5/2016,10.75
8/8/2016,10.9
8/9/2016,10.89
8/10/2016,10.79
8/11/2016,10.8
8/12/2016,10.84
8/15/2016,10.92
8/16/2016,10.86
8/17/2016,10.88
8/18/2016,10.84
8/19/2016,10.92
8/22/2016,10.98
8/23/2016,10.94
8/24/2016,10.96
8/25/2016,10.9
8/26/2016,10.87
8/29/2016,10.95
8/30/2016,11
8/31/2016,11.03
9/1/2016,10.99
9/2/2016,10.99
9/5/2016,11.02
9/6/2016,11
9/7/2016,10.93
9/8/2016,10.9
9/9/2016,10.89
9/12/2016,10.71
9/13/2016,10.92
9/14/2016,10.97
9/15/2016,10.99
9/16/2016,11.13
9/20/2016,11.08
9/21/2016,11.07
9/22/2016,11.03
9/23/2016,11.12
9/26/2016,11.07
9/27/2016,11
9/28/2016,11.01
9/29/2016,11.04
9/30/2016,11
10/3/2016,11.09
10/4/2016,11.04
10/5/2016,11.07
10/6/2016,11.16
10/7/2016,11.17
10/10/2016,11.16
10/11/2016,11.25
10/12/2016,11.09
10/13/2016,11.03
10/14/2016,10.85
10/17/2016,10.96
10/18/2016,10.88
10/19/2016,10.95
10/20/2016,10.94
10/21/2016,11.02
10/24/2016,11.09
10/25/2016,11.19
10/26/2016,11.02
10/27/2016,11.03
10/28/2016,11.02
10/31/2016,11.02
11/1/2016,10.92
11/2/2016,10.79
11/3/2016,10.62
11/4/2016,10.58
11/7/2016,10.71
11/8/2016,10.76
11/9/2016,10.4
11/10/2016,10.96
11/11/2016,10.74
11/14/2016,11.01
11/15/2016,10.81
11/16/2016,10.97
11/17/2016,11.12
11/18/2016,11.34
11/21/2016,11.43
11/22/2016,11.47
11/23/2016,11.41
11/24/2016,11.38
11/25/2016,11.35
11/28/2016,11.29
11/29/2016,11.3
11/30/2016,11.31
12/1/2016,11.29
12/2/2016,11.08
12/5/2016,11.03
12/6/2016,11.11
12/7/2016,11.18
12/8/2016,11.21
12/9/2016,11.3
12/12/2016,11.32
12/13/2016,11.24
12/14/2016,11.46
12/15/2016,11.55
12/16/2016,11.64
12/19/2016,11.79
12/20/2016,11.89
12/21/2016,11.92
12/22/2016,11.9
12/23/2016,11.85
12/28/2016,11.9
12/29/2016,11.83
12/30/2016,11.81
1/3/2017,11.7
1/4/2017,11.79
1/5/2017,11.71
1/6/2017,11.75
1/9/2017,11.87
1/10/2017,11.76
1/11/2017,11.81
1/12/2017,11.7
1/13/2017,11.68
1/16/2017,11.72
1/17/2017,11.68
1/18/2017,11.6
1/19/2017,11.63
1/20/2017,11.57
1/23/2017,11.54
1/24/2017,11.59
1/25/2017,11.74
1/27/2017,11.86
1/30/2017,11.75
1/31/2017,11.72
2/1/2017,11.76
2/2/2017,11.66
2/3/2017,11.6
2/6/2017,11.62
2/7/2017,11.68
2/8/2017,11.79
2/9/2017,11.83
2/10/2017,11.88
2/13/2017,11.86
2/14/2017,11.89
2/15/2017,11.91
2/16/2017,11.95
2/17/2017,11.93
2/20/2017,12.05
2/21/2017,12.08
2/22/2017,12.07
2/23/2017,12.08
2/24/2017,11.95
2/27/2017,12.07
2/28/2017,12.09
3/1/2017,12.11
3/2/2017,12.21
3/3/2017,12.28
3/6/2017,12.26
3/7/2017,12.19
3/8/2017,12.2
3/9/2017,12.4
3/10/2017,12.43
3/13/2017,12.32
3/14/2017,12.37
3/15/2017,12.36
3/16/2017,12.27
3/17/2017,12.22
3/20/2017,12.15
3/21/2017,12.22
3/22/2017,12.05
3/23/2017,12.17
3/24/2017,12.21
3/27/2017,12.14
3/28/2017,12.27
3/29/2017,12.29
3/30/2017,12.32
3/31/2017,12.32
4/3/2017,12.43
4/4/2017,12.44
4/5/2017,12.47
4/6/2017,12.42
4/7/2017,12.46
4/10/2017,12.63
4/11/2017,12.53
4/12/2017,12.5
4/13/2017,12.32
4/18/2017,12.4
4/19/2017,12.45
4/20/2017,12.49
4/21/2017,12.54
4/24/2017,12.61
4/26/2017,12.83
4/27/2017,12.86
4/28/2017,12.99
5/1/2017,12.97
5/2/2017,12.97
5/3/2017,13
5/4/2017,13.18
5/5/2017,13.22
5/8/2017,13.24
5/9/2017,13.37
5/10/2017,13.38
5/11/2017,13.4
5/12/2017,13.33
5/15/2017,13.37
5/16/2017,13.34
5/17/2017,13.31
5/18/2017,13.05
5/19/2017,13.16
5/22/2017,13.22
5/23/2017,13.2
5/24/2017,13.31
5/25/2017,13.33
5/26/2017,13.52
5/29/2017,13.55
5/30/2017,13.53
5/31/2017,13.53
6/1/2017,13.63
6/2/2017,13.74
6/5/2017,13.71
6/6/2017,13.62
6/7/2017,13.52
6/8/2017,13.54
6/9/2017,13.56
6/13/2017,13.17
6/14/2017,13.22
6/15/2017,13.01
6/16/2017,13.07
6/19/2017,13.02
6/20/2017,13.18
6/21/2017,13.15
6/22/2017,13.33
6/23/2017,13.31
6/26/2017,13.33
6/27/2017,13.19
6/28/2017,12.93
6/29/2017,13.07
6/30/2017,12.74
7/3/2017,12.79
7/4/2017,12.7
7/5/2017,12.69
7/6/2017,12.87
7/7/2017,12.8
7/10/2017,12.94
7/11/2017,12.98
7/12/2017,12.95
7/13/2017,13.05
7/14/2017,12.96
7/17/2017,12.96
7/18/2017,12.84
7/19/2017,12.88
7/20/2017,12.92
7/21/2017,12.97
7/24/2017,12.92
7/25/2017,12.93
7/26/2017,13.01
7/27/2017,12.88
7/28/2017,12.74
7/31/2017,12.83
8/1/2017,12.76
8/2/2017,12.94
8/3/2017,12.9
8/4/2017,12.8
8/7/2017,12.91
8/8/2017,12.98
8/9/2017,12.97
8/10/2017,13
8/11/2017,12.72
8/14/2017,12.9
8/15/2017,13.08
8/16/2017,13.06
8/17/2017,12.9
8/18/2017,12.77
8/21/2017,12.67
8/22/2017,12.71
8/23/2017,12.9
8/24/2017,12.83
8/25/2017,12.83
8/28/2017,12.69
8/29/2017,12.7
8/30/2017,12.76
8/31/2017,13.05
9/1/2017,13.11
9/4/2017,12.98
9/5/2017,13.02
9/6/2017,12.88
9/7/2017,12.9
9/8/2017,12.73
9/11/2017,12.8
9/12/2017,12.95
9/13/2017,12.95
9/14/2017,13
9/15/2017,12.93
9/18/2017,12.97
9/19/2017,12.99
9/20/2017,12.95
9/21/2017,12.99
9/22/2017,12.93
9/25/2017,12.9
9/26/2017,12.82
9/27/2017,13
9/28/2017,13.17
9/29/2017,13.13
10/2/2017,13.27
10/3/2017,13.31
10/4/2017,13.21
10/5/2017,13.29
10/6/2017,13.54
10/9/2017,13.55
10/10/2017,13.51
10/11/2017,13.52
10/12/2017,13.49
10/13/2017,13.46
10/16/2017,13.46
10/17/2017,13.52
10/18/2017,13.53
10/19/2017,13.49
10/20/2017,13.53
10/23/2017,13.53
10/24/2017,13.46
10/25/2017,13.63
10/26/2017,13.65
10/27/2017,13.84
10/30/2017,14.03
10/31/2017,14.08
11/1/2017,14.18
11/2/2017,13.99
11/3/2017,14.09
11/6/2017,14.21
11/7/2017,14.27
11/8/2017,14.31
11/9/2017,14.29
11/10/2017,14.27
11/13/2017,14.31
11/14/2017,14.33
11/15/2017,14.35
11/16/2017,14.34
11/17/2017,14.53
11/20/2017,14.46
11/21/2017,14.55
11/22/2017,14.62
11/23/2017,14.54
11/24/2017,14.55
11/27/2017,14.62
11/28/2017,14.59
11/29/2017,14.68
11/30/2017,14.4
12/1/2017,14.57
12/4/2017,14.57
12/5/2017,14.24
12/6/2017,14.29
12/7/2017,14.54
12/8/2017,14.63
12/11/2017,14.66
12/12/2017,14.75
12/13/2017,14.63
12/14/2017,14.49
